number,final record date
53893,2024-09-19 17:00:00+08:00
53894,2024-09-19 17:00:00+08:00
53895,2024-09-19 17:00:00+08:00
53896,2024-09-19 17:00:00+08:00
53897,2024-09-19 17:00:00+08:00
53898,2024-09-19 17:00:00+08:00
53899,2024-09-19 17:00:00+08:00
53903,2024-09-19 15:00:00+08:00
53906,2024-09-19 18:00:00+08:00
53908,2024-09-19 18:00:00+08:00
53910,2024-09-19 16:00:00+08:00
53913,2024-09-19 15:00:00+08:00
53914,2024-09-19 15:00:00+08:00
53915,2024-09-19 18:00:00+08:00
53916,2024-09-19 15:00:00+08:00
53917,2024-09-19 18:00:00+08:00
53923,2024-09-19 18:00:00+08:00
53924,2024-09-19 18:00:00+08:00
53925,2024-09-19 18:00:00+08:00
53926,2024-09-19 18:00:00+08:00
53927,2024-09-19 18:00:00+08:00
53928,2024-09-19 18:00:00+08:00
53929,2024-09-19 19:00:00+08:00
53930,2024-09-19 18:00:00+08:00
53931,2024-09-19 19:00:00+08:00
53934,2024-09-19 18:00:00+08:00
53935,2024-09-19 18:00:00+08:00
53937,2024-09-19 18:00:00+08:00
53938,2024-09-19 19:00:00+08:00
53941,2024-09-19 19:00:00+08:00
53942,2024-09-19 19:00:00+08:00
53944,2024-09-19 19:00:00+08:00
53945,2024-09-19 19:00:00+08:00
53946,2024-09-19 19:00:00+08:00
53947,2024-09-19 19:00:00+08:00
53948,2024-09-19 19:00:00+08:00
53949,2024-09-19 19:00:00+08:00
53950,2024-09-19 19:00:00+08:00
53953,2024-09-19 16:00:00+08:00
53954,2024-09-19 16:00:00+08:00
53955,2024-09-19 19:00:00+08:00
53956,2024-09-19 16:00:00+08:00
53957,2024-09-19 16:00:00+08:00
53958,2024-09-19 16:00:00+08:00
53959,2024-09-19 16:00:00+08:00
53961,2024-09-19 16:00:00+08:00
53962,2024-09-19 16:00:00+08:00
53963,2024-09-19 16:00:00+08:00
53964,2024-09-19 16:00:00+08:00
53965,2024-09-19 16:00:00+08:00
53966,2024-09-19 16:00:00+08:00
53967,2024-09-19 16:00:00+08:00
53968,2024-09-19 16:00:00+08:00
53970,2024-09-19 16:00:00+08:00
53972,2024-09-19 17:00:00+08:00
53973,2024-09-19 16:00:00+08:00
53974,2024-09-19 17:00:00+08:00
53975,2024-09-19 16:00:00+08:00
53976,2024-09-19 16:00:00+08:00
53978,2024-09-19 17:00:00+08:00
53979,2024-09-19 17:00:00+08:00
53980,2024-09-19 17:00:00+08:00
53981,2024-09-19 16:00:00+08:00
53982,2024-09-19 17:00:00+08:00
53983,2024-09-19 17:00:00+08:00
53984,2024-09-19 17:00:00+08:00
53985,2024-09-19 17:00:00+08:00
53986,2024-09-19 17:00:00+08:00
53987,2024-09-19 17:00:00+08:00
53988,2024-09-19 17:00:00+08:00
53989,2024-09-19 17:00:00+08:00
53991,2024-09-19 17:00:00+08:00
53992,2024-09-19 17:00:00+08:00
53993,2024-09-19 17:00:00+08:00
53994,2024-09-19 17:00:00+08:00
53995,2024-09-19 17:00:00+08:00
53996,2024-09-19 17:00:00+08:00
53997,2024-09-19 17:00:00+08:00
53998,2024-09-19 17:00:00+08:00
54012,2024-09-19 15:00:00+08:00
54024,2024-09-19 15:00:00+08:00
54026,2024-09-19 15:00:00+08:00
54027,2024-09-19 15:00:00+08:00
54031,2024-09-19 15:00:00+08:00
54039,2024-09-19 15:00:00+08:00
54041,2024-09-19 15:00:00+08:00
54047,2024-09-19 15:00:00+08:00
54049,2024-09-19 15:00:00+08:00
54063,2024-09-19 15:00:00+08:00
54064,2024-09-19 15:00:00+08:00
54065,2024-09-19 15:00:00+08:00
54069,2024-09-19 15:00:00+08:00
54072,2024-09-19 15:00:00+08:00
54076,2024-09-19 15:00:00+08:00
54080,2024-09-19 19:00:00+08:00
54084,2024-09-19 19:00:00+08:00
54092,2024-09-19 19:00:00+08:00
54093,2024-09-19 19:00:00+08:00
54094,2024-09-19 19:00:00+08:00
54096,2024-09-19 19:00:00+08:00
54098,2024-09-19 19:00:00+08:00
54099,2024-09-19 19:00:00+08:00
54102,2024-09-19 15:00:00+08:00
54113,2024-09-19 15:00:00+08:00
54115,2024-09-19 15:00:00+08:00
54117,2024-09-19 15:00:00+08:00
54122,2024-09-19 15:00:00+08:00
54132,2024-09-19 15:00:00+08:00
54134,2024-09-19 15:00:00+08:00
54135,2024-09-19 15:00:00+08:00
54142,2024-09-19 15:00:00+08:00
54154,2024-09-19 15:00:00+08:00
54155,2024-09-19 15:00:00+08:00
54156,2024-09-19 15:00:00+08:00
54157,2024-09-19 15:00:00+08:00
54161,2024-09-19 15:00:00+08:00
54164,2024-09-19 15:00:00+08:00
54165,2024-09-19 15:00:00+08:00
54169,2024-09-19 15:00:00+08:00
54171,2024-09-19 15:00:00+08:00
54172,2024-09-19 15:00:00+08:00
54181,2024-09-19 15:00:00+08:00
54186,2024-09-19 15:00:00+08:00
54187,2024-09-19 15:00:00+08:00
54192,2024-09-19 15:00:00+08:00
54195,2024-09-19 15:00:00+08:00
54204,2024-09-19 15:00:00+08:00
54205,2024-09-19 15:00:00+08:00
54208,2024-09-19 15:00:00+08:00
54213,2024-09-19 15:00:00+08:00
54214,2024-09-19 15:00:00+08:00
54218,2024-09-19 15:00:00+08:00
54223,2024-09-19 15:00:00+08:00
54225,2024-09-19 15:00:00+08:00
54226,2024-09-19 15:00:00+08:00
54231,2024-09-19 15:00:00+08:00
54234,2024-09-19 15:00:00+08:00
54236,2024-09-19 18:00:00+08:00
54237,2024-09-19 18:00:00+08:00
54243,2024-09-19 18:00:00+08:00
54244,2024-09-19 18:00:00+08:00
54245,2024-09-19 18:00:00+08:00
54248,2024-09-19 18:00:00+08:00
54249,2024-09-19 18:00:00+08:00
54252,2024-09-19 18:00:00+08:00
54254,2024-09-19 18:00:00+08:00
54259,2024-09-19 18:00:00+08:00
54260,2024-09-19 15:00:00+08:00
54261,2024-09-19 15:00:00+08:00
54263,2024-09-19 15:00:00+08:00
54266,2024-09-19 15:00:00+08:00
54267,2024-09-19 15:00:00+08:00
54273,2024-09-19 15:00:00+08:00
54274,2024-09-19 15:00:00+08:00
54276,2024-09-19 15:00:00+08:00
54279,2024-09-19 15:00:00+08:00
54284,2024-09-19 15:00:00+08:00
54285,2024-09-19 15:00:00+08:00
54286,2024-09-19 15:00:00+08:00
54287,2024-09-19 15:00:00+08:00
54290,2024-09-19 15:00:00+08:00
54291,2024-09-19 15:00:00+08:00
54292,2024-09-19 15:00:00+08:00
54293,2024-09-19 15:00:00+08:00
54301,2024-09-19 17:00:00+08:00
54304,2024-09-19 17:00:00+08:00
54305,2024-09-19 15:00:00+08:00
54308,2024-09-19 17:00:00+08:00
